Agent ID,Risk Profile,Collateral Deposited (BTC),Effective Collateral ($),Initial Borrowed MOET ($),Final Debt w/ Interest ($),Total Interest Accrued ($),Initial Health Factor,Target Health Factor,Final Health Factor,Initial Yield Tokens ($),Yield Tokens Sold ($),Final Collateral Value ($),Final Yield Token Value ($),Net Position Value ($),Cost of Liquidation ($),Survival Status,Rebalancing Events,Emergency Liquidations
high_tide_conservative_0,Conservative,1.0,"$80,000","$34,490","$27,579",$0,2.32,2.20,2.34,"$34,490","$6,911","$80,577","$27,570","$99,991",$9,✅ Survived,4,0
high_tide_conservative_1,Conservative,1.0,"$80,000","$35,451","$28,512",$0,2.26,2.15,2.26,"$35,451","$6,939","$80,577","$28,504","$99,992",$8,✅ Survived,4,0
high_tide_conservative_2,Conservative,1.0,"$80,000","$38,061","$31,250",$0,2.10,1.97,2.06,"$38,061","$6,810","$80,577","$31,241","$99,991",$9,✅ Survived,3,0
high_tide_moderate_3,Moderate,1.0,"$80,000","$46,939","$37,353",$0,1.70,1.52,1.73,"$46,939","$9,586","$80,577","$37,342","$99,989",$11,✅ Survived,2,0
high_tide_moderate_4,Moderate,1.0,"$80,000","$47,508","$37,805",$0,1.68,1.51,1.71,"$47,508","$9,703","$80,577","$37,794","$99,989",$11,✅ Survived,2,0
high_tide_moderate_5,Moderate,1.0,"$80,000","$52,728","$41,960",$0,1.52,1.36,1.54,"$52,728","$10,769","$80,577","$41,947","$99,988",$12,✅ Survived,2,0
high_tide_moderate_7,Moderate,1.0,"$80,000","$49,192","$41,818",$0,1.63,1.38,1.54,"$49,192","$7,374","$80,577","$41,810","$99,992",$8,✅ Survived,1,0
high_tide_moderate_6,Moderate,1.0,"$80,000","$47,656","$42,115",$0,1.68,1.49,1.53,"$47,656","$5,541","$80,577","$42,109","$99,994",$6,✅ Survived,1,0
high_tide_aggressive_9,Aggressive,1.0,"$80,000","$53,945","$43,637",$0,1.48,1.20,1.48,"$53,945","$10,308","$80,577","$43,626","$99,990",$10,✅ Survived,1,0
high_tide_aggressive_8,Aggressive,1.0,"$80,000","$55,281","$45,612",$0,1.45,1.20,1.41,"$55,281","$9,669","$80,577","$45,602","$99,990",$10,✅ Survived,1,0
high_tide_aggressive_10,Aggressive,1.0,"$80,000","$59,561","$47,397",$0,1.34,1.20,1.36,"$59,561","$12,164","$80,577","$47,385","$99,987",$13,✅ Survived,2,0
high_tide_aggressive_11,Aggressive,1.0,"$80,000","$57,322","$49,211",$0,1.40,1.20,1.31,"$57,322","$8,111","$80,577","$49,203","$99,991",$9,✅ Survived,1,0
high_tide_aggressive_12,Aggressive,1.0,"$80,000","$58,793","$51,731",$0,1.36,1.20,1.25,"$58,793","$7,062","$80,577","$51,724","$99,992",$8,✅ Survived,1,0
